code,type
355,40
355,3
355,52
356,70
356,60
356,79
356,80
357,5
358,22
358,67
358,34
359,5
360,5
360,14
360,33
361,22
361,71
361,60
361,28
361,51
361,3
361,59
362,23
362,5
362,71
362,82
362,61
362,3
362,52
362,59
363,70
363,67
363,73
363,42
364,17
364,18
364,43
365,16
365,5
365,33
366,6
366,70
366,44
367,47
367,71
367,74
367,60
367,54
367,73
368,70
369,70
369,16
369,5
370,6
370,70
370,16
371,67
371,60
371,79
371,45
372,70
373,6
373,70
373,16
373,23
374,17
374,83
374,74
374,59
375,5
375,65
376,22
376,60
376,7
376,38
377,5
378,64
379,33
379,10
379,53
380,16
380,23
381,70
382,68
382,70
382,48
382,41
383,3
384,26
384,70
385,65
385,50
386,6
386,61
387,17
387,71
387,50
388,23
388,83
388,60
388,3
388,52
389,70
389,41
390,22
390,64
390,54
390,43
390,49
391,70
391,43
392,16
392,65
393,5
393,33
395,28
395,59
395,2
396,5
396,79
396,53
397,22
397,64
397,74
397,60
398,47
398,54
398,73
398,45
399,65
399,61
400,5
400,33
401,70
401,5
402,73
402,15
403,43
404,74
405,70
405,5
405,19
406,70
406,16
407,23
407,3
407,52
407,59
408,68
408,65
409,5
410,16
410,5
411,74
411,28
411,38
411,59
412,68
412,6
412,44
413,22
413,71
413,60
413,38
413,50
414,70
414,10
414,53
415,31
415,70
415,39
415,74
415,60
415,82
415,38
415,61
416,70
416,38
417,31
417,70
417,67
417,73
417,61
418,70
419,83
419,70
419,3
419,52
420,16
420,5
420,33
420,65
421,70
421,74
421,44
421,3
422,60
422,28
422,51
422,3
423,70
423,74
424,5
425,16
425,5
425,56
425,50
425,53
426,6
426,23
426,50
427,5
427,59
427,2
428,5
428,84
428,83
428,33
428,3
428,52
428,50
429,67
429,42
430,6
430,71
430,49
431,64
431,41
432,6
433,70
433,65
433,19
434,74
434,65
435,16
436,17
436,70
436,48
436,82
437,5
437,79
437,61
438,5
438,33
439,70
439,65
439,32
440,68
441,17
441,14
442,59
442,2
443,57
443,27
443,25
443,59
444,70
444,74
445,70
446,68
447,6
447,23
447,64
447,65
447,19
448,26
448,31
448,70
448,67
448,60
448,54
449,11
449,59
450,5
450,79
451,70
452,16
452,5
452,65
453,70
453,21
454,17
454,64
455,74
455,10
456,22
456,31
456,67
456,74
456,51
456,38
457,84
457,14
458,70
459,6
459,70
459,16
459,5
460,6
460,23
460,5
460,38
460,50
461,70
461,5
462,67
462,73
462,45
462,15
463,70
464,5
464,65
464,79
464,53
465,16
466,26
466,16
466,5
467,64
467,5
468,71
468,76
469,64
469,3
469,52
470,5
470,10
470,53
471,23
471,5
471,63
472,70
472,61
473,70
474,70
474,16
474,33
474,65
475,57
475,70
475,61
476,50
476,53
477,31
477,67
477,7
477,37
477,3
477,62
478,16
478,5
478,19
478,50
478,53
479,7
479,38
480,70
480,64
480,74
480,60
481,5
481,65
481,50
482,28
482,59
482,2
483,70
483,71
484,65
485,70
485,73
485,80
486,6
486,82
487,67
487,76
487,45
488,31
489,5
489,82
489,61
489,50
489,59
489,2
490,47
490,70
491,22
491,70
491,60
491,38
491,80
492,16
493,68
493,76
494,16
494,82
495,70
495,61
496,68
496,76
496,19
497,70
498,16
498,5
499,68
500,39
500,60
500,76
500,3
501,70
501,74
501,60
502,5
502,79
502,19
503,39
503,21
503,64
503,60
504,71
504,43
505,70
505,64
505,65
506,33
506,76
506,45
507,70
507,41
508,70
508,48
509,70
509,60
509,3
510,5
510,33
511,47
511,17
512,70
512,74
513,16
513,65
514,16
514,65
514,50
515,36
516,11
516,59
517,64
517,71
517,79
517,73
518,31
518,67
518,34
518,12
519,31
519,70
519,74
520,70
520,71
520,3
520,52
521,5
522,5
522,33
523,70
523,3
523,43
524,57
524,5
524,33
525,5
525,65
525,79
525,50
526,16
526,84
527,70
527,60
528,23
528,82
528,61
528,3
528,52
528,59
529,70
529,21
529,60
530,70
531,68
532,47
532,64
532,45
532,3
533,5
534,70
534,45
535,68
536,26
536,31
536,70
536,67
536,60
537,22
537,74
537,60
537,28
537,32
538,6
538,16
538,50
539,57
539,6
539,23
539,65
539,11
539,66
539,12
539,19
539,59
540,5
540,79
540,61
541,16
541,5
541,65
542,17
542,70
543,68
543,41
544,68
544,76
545,6
546,59
546,2
547,74
547,28
547,59
548,5
548,33
549,17
549,84
549,14
549,50
550,16
550,5
550,14
550,65
551,68
551,70
551,48
551,41
552,70
552,74
552,60
553,17
553,18
553,43
554,31
554,70
554,73
555,6
555,64
556,5
556,74
556,14
557,22
557,5
557,74
557,60
557,54
558,39
558,21
558,64
558,60
558,28
559,83
559,31
559,70
559,39
559,3
560,6
560,61
561,3
561,32
562,16
563,16
563,5
564,70
565,68
566,22
566,83
566,71
566,74
566,60
567,53
568,5
568,65
568,38
568,63
569,26
569,64
570,6
570,63
571,70
571,74
571,60
571,32
572,70
572,39
572,74
573,73
574,22
574,74
574,38
575,22
575,74
575,60
575,28
576,70
576,74
576,60
576,80
577,16
577,64
577,74
577,65
578,17
578,18
578,43
579,70
579,54
579,73
580,31
580,67
580,74
580,7
580,82
580,73
581,64
582,5
582,33
582,53
583,58
583,45
583,3
583,52
584,23
584,5
584,33
584,36
584,53
585,46
586,59
586,2
587,70
587,5
587,65
588,5
588,33
588,61
589,70
589,64
589,74
589,60
590,16
590,74
590,65
590,50
591,22
591,71
591,74
591,60
591,28
591,38
592,68
592,17
593,70
593,74
594,68
595,23
595,65
595,49
596,23
596,6
596,65
596,11
596,19
596,59
597,74
597,60
597,7
597,44
598,70
598,23
599,70
600,17
600,70
600,8
600,84
600,60
600,36
600,69
601,5
601,14
602,22
602,71
602,74
602,60
602,28
603,51
604,70
604,73
605,45
606,67
606,60
606,28
606,3
606,42
607,70
608,5
608,33
609,82
609,66
609,61
609,63
609,19
609,59
610,17
611,68
611,58
612,83
612,17
612,5
612,8
613,22
613,71
614,31
614,67
614,34
615,70
615,74
615,60
615,43
616,70
616,41
617,79
618,16
618,5
618,19
619,68
619,17
620,70
621,65
621,19
622,31
622,60
622,28
622,3
622,59
623,22
623,71
624,5
624,14
624,50
625,79
625,19
626,23
626,82
627,16
627,65
627,50
628,70
628,48
628,73
628,45
629,70
629,64
629,74
629,69
630,74
630,61
631,5
632,16
632,65
633,31
633,67
633,54
633,73
633,42
634,5
634,12
634,10
634,53
635,31
635,70
635,82
636,70
636,67
636,9
637,3
638,70
638,65
639,33
639,52
640,33
641,23
641,71
641,19
641,32
643,22
643,74
643,60
643,28
644,70
644,16
644,5
644,65
645,31
645,82
645,61
645,12
645,59
646,33
646,19
647,74
648,74
648,44
649,79
650,14
651,70
651,18
651,43
652,22
652,71
652,74
652,60
652,28
653,70
653,67
