code,type
187,110
187,150
187,160
187,177
187,184
188,10
188,14
188,187
188,188
188,188
189,41
189,50
189,56
189,62
189,110
189,116
189,148
189,154
189,179
189,185
190,50
190,59
191,63
191,97
192,48
192,64
192,122
192,144
192,164
193,148
194,10
194,50
195,24
195,50
195,56
195,141
195,171
195,185
196,14
196,31
196,148
196,169
196,179
197,41
197,50
197,124
197,137
197,184
197,188
197,189
198,50
198,56
198,62
198,148
198,154
198,166
198,169
198,189
199,50
199,148
199,188
199,189
200,11
200,50
200,64
200,67
200,109
200,139
200,166
200,173
200,184
200,185
200,187
201,50
201,69
201,114
201,133
201,154
202,3
202,14
202,110
202,154
203,166
203,173
204,56
204,97
204,110
204,148
204,156
204,179
204,188
205,41
205,87
205,109
205,142
205,148
206,66
206,124
206,145
206,166
207,5
207,41
207,64
207,74
207,110
207,148
208,46
208,50
208,63
208,84
208,150
208,179
208,184
209,3
209,64
209,128
209,145
209,149
209,150
209,164
210,64
210,179
210,188
211,24
211,50
211,68
211,128
212,46
212,64
212,164
213,3
213,42
213,64
213,108
213,124
213,148
213,154
213,172
213,184
214,11
214,42
214,50
214,139
214,143
214,161
214,184
215,34
215,41
215,49
215,56
215,64
215,65
215,73
215,99
215,101
215,148
215,154
215,167
215,169
215,183
215,188
216,10
216,39
216,49
216,185
216,191
217,2
217,60
217,64
217,148
217,183
218,29
218,42
218,50
218,64
218,67
218,97
218,122
218,147
218,154
218,166
218,173
218,184
219,64
219,68
219,91
219,110
219,144
219,148
220,10
220,81
220,110
220,150
220,154
220,169
221,64
222,24
222,37
222,149
222,160
223,24
223,50
223,64
224,4
224,44
224,50
224,84
224,100
224,122
224,149
224,150
224,184
225,27
225,41
225,114
225,116
225,154
226,10
226,64
226,88
226,169
227,64
227,110
227,148
228,3
228,14
228,50
228,170
229,64
229,125
229,174
230,3
230,10
230,55
230,63
230,64
230,156
230,168
230,169
231,42
231,49
231,57
231,67
231,110
231,122
231,154
231,166
231,184
232,64
232,110
233,50
233,154
233,177
233,184
233,188
233,188
234,42
235,4
235,108
235,184
235,188
236,38
236,42
236,50
236,64
236,122
236,147
236,148
236,166
236,173
236,184
237,3
237,64
237,186
237,188
238,3
238,10
238,50
238,63
238,64
238,97
238,184
239,42
239,46
239,57
239,64
239,143
239,154
239,185
240,64
240,80
240,125
240,166
240,174
241,5
241,50
241,63
241,97
241,143
241,156
241,164
241,184
242,5
242,49
242,64
242,110
242,130
242,137
242,154
242,171
242,188
243,5
243,10
243,49
243,64
243,110
243,148
243,177
244,10
244,64
244,65
244,68
244,69
244,148
244,169
245,38
245,42
245,64
245,143
245,174
246,42
246,105
246,154
246,161
247,64
247,110
247,148
247,169
247,184
247,188
248,64
248,80
248,174
249,14
249,64
249,150
249,188
250,3
250,42
250,50
250,143
250,154
250,184
251,38
251,42
251,64
251,95
251,148
252,48
252,64
252,122
252,144
252,164
253,23
253,55
253,74
253,169
253,188
254,14
254,20
254,35
254,40
254,128
254,148
255,64
255,124
256,50
256,148
256,188
256,189
257,63
257,117
257,169
258,3
258,10
258,11
258,50
258,184
259,63
259,64
259,97
259,110
259,138
259,156
259,167
259,172
259,184
260,64
260,108
260,110
260,148
261,64
261,108
261,110
261,128
261,148
262,64
262,148
263,50
263,67
263,122
263,128
263,133
263,166
263,184
264,3
264,42
264,50
264,63
264,120
264,149
264,154
264,156
264,184
265,3
265,5
265,63
265,64
265,97
265,150
