이름|이름(eng)|년도|img|점수(bl)|점수(user)|분류|테마|진행방식|bggcode|최소인원|최대인원|시간|최소시간|최대시간|연령|난이도
18MEX|18MEX|2005|wys2/swf_upload/2022/01/30/1643481129357748_lg_N_80x80_100_5_.png|6.708|8.00|Strategy Games|Economic,Trains,Transportation|Hexagon Grid,Network and Route Building,Stock Holding,Tile Placement|18485|3|5|210|210|210|14|3.8182
구룡투|Showdown Tactics|2020|data/boardgame_strategy_reg/2020/10/30/1604059403-890071_N_80x80_100_5_.jpg|6.708|6.74|Abstract Strategy Games|Abstract Strategy,Electronic|Hand Management|300007|2|2|15|15|15|8|1
크툴루: 데쓰 메이 다이|Cthulhu: Death May Die|2019|data/boardgame_strategy/2018/07/14/1531559512-37048.gif|6.699|7.45|Thematic Games|Fantasy,Fighting,Horror,Miniatures,Novel-based|Action Points,Cooperative Game,Dice Rolling,Scenario / Mission / Campaign Game,Solo / Solitaire Game,Variable Player Powers|253344|1|5|120|90|120|14|2.4025
몬도|Mondo|2011|data/boardgame_strategy/2013/11/05/1383653026-453196_N_80x80_100_5_.jpg|6.707|7.31|Family Games|Animals,Environmental,Puzzle,Real-time|Pattern Building,Tile Placement|91523|1|4|30|20|30|8|1.8077
락 더 비트|Rock the Beat|2008|wys2/swf_upload/2022/09/19/1663524635619354_lg_N_80x80_100_5_.jpg|6.708|7.67|Party Games|Action / Dexterity,Humor,Music,Party Game,Real-time|Acting,Memory,Pattern Recognition|37728|4|12|30|30|30|8|1.0617
캐스트어웨이즈|Castaways|2010|wys2/swf_upload/2022/08/18/1660826887678785_lg_N_80x80_100_5_.jpg|6.704|7.16|Thematic Games|Adventure,Negotiation|Dice Rolling,Push Your Luck,Semi-Cooperative Game,Variable Player Powers,Worker Placement|71906|1|4|120|120|120|14|3.0069
워싱턴 전쟁|Washington's War|2010|wys2/swf_upload/2022/01/30/1643481293035672_lg_N_80x80_100_5_.jpg|6.705|7.80|Wargames|Age of Reason,American Revolutionary War,Wargame|Area Majority / Influence,Campaign / Battle Card Driven,Dice Rolling,Movement Points,Point to Point Movement,Simulation,Variable Player Powers|38996|2|2|90|90|90|0|2.8605
할레아칼라|Haleakala|2015|wys2/swf_upload/2022/01/30/164348137845284_lg_N_80x80_100_5_.png|6.708|8.00|Strategy Games|Mythology,Territory Building|Area Majority / Influence,Hand Management|177727|2|2|40|40|40|12|2.3667
발파라이소|Valparaíso|2018|wys2/swf_upload/2022/02/26/1645856188475631_lg_N_80x80_100_5_.jpg|6.701|6.77|Strategy Games|Economic|Action Queue,Kill Steal,Point to Point Movement,Simultaneous Action Selection|257058|2|5|90|45|90|12|2.8286
황소개구리|Bullfrogs|2015|wys2/swf_upload/2022/04/29/1651165039967209_lg_N_80x80_100_5_.jpg|6.706|7.12|Family Games|Abstract Strategy,Animals,Card Game|Action Points,Area Majority / Influence,Hand Management,Modular Board|149853|2|4|40|20|40|8|1.8824
팀3 핑크|TEAM3 PINK|2019|data/boardgame_strategy/2021/02/09/1612856361-703265_N_80x80_100_5_.png|6.707|7.39|Party Games|Action / Dexterity|Cooperative Game,Team-Based Game|247694|3|6|30|30|30|14|1.125
프로그레스: 기술의 진화|Progress: Evolution of Technology|2014|wys2/swf_upload/2022/01/30/1643481475981062_lg_N_80x80_100_5_.png|6.704|7.03|Strategy Games|Card Game,Civilization|Action Points,Hand Management,Open Drafting|140717|1|5|90|90|90|12|2.4216
카르카손 : 운명의 바퀴|Carcassonne: Wheel of Fortune|2009|wys2/swf_upload/2022/09/11/1662885873989021_lg_N_80x80_100_5_.jpg|6.703|7.00|Family Games|City Building,Medieval,Territory Building|Area Majority / Influence,Tile Placement|45748|2|5|30|30|30|8|2.0448
