이름|이름(eng)|년도|img|점수(bl)|점수(user)|분류|테마|진행방식|bggcode|최소인원|최대인원|시간|최소시간|최대시간|연령|난이도
키플라워|Keyflower|2013|wys2/swf_upload/2022/01/16/1642279750251605_lg_N_80x80_100_5_.jpg|6.896|8.07|Strategy Games|City Building,Economic,Renaissance,Territory Building,Transportation|Auction/Bidding,Auction: Fixed Placement,Constrained Bidding,End Game Bonuses,Hexagon Grid,Modular Board,Multiple-Lot Auction,Network and Route Building,Ownership,Set Collection,Tile Placement,Turn Order: Auction,Variable Set-up,Worker Placement,Worker Placement, Different Worker Types|122515|2|6|120|90|120|12|3.3442
팬데믹: 크툴루의 지배|Pandemic: Reign of Cthulhu|2015|wys2/swf_upload/2022/01/16/1642279820685726_lg_N_80x80_100_5_.png|6.891|7.66|Strategy Games|Horror,Novel-based|Action Points,Cooperative Game,Hand Management,Point to Point Movement,Set Collection,Trading,Variable Player Powers|192153|2|4|40|40|40|14|2.1667
주사위 왕좌: 시즌 1|Dice Throne: Season One|2018|wys2/swf_upload/2022/01/16/1642279846834137_lg_N_80x80_100_5_.jpg|6.883|7.63|Family Games|Card Game,Dice,Fantasy,Fighting|Dice Rolling,Re-rolling and Locking,Take That,Team-Based Game,Variable Player Powers|216734|2|6|40|20|40|8|2.0854
쇼군|Shogun|2006|wys2/swf_upload/2022/01/16/1642279933299367_lg_N_80x80_100_5_.png|6.887|7.51|Strategy Games|Economic,Medieval,Territory Building|Action Queue,Area Majority / Influence,Area Movement,Auction/Bidding,Cube Tower,Simultaneous Action Selection,Variable Phase Order|20551|3|5|120|90|120|12|3.3682
타이드 오브 아이언|Tide of Iron|2007|wys2/swf_upload/2022/01/16/16422799629250_lg_N_80x80_100_5_.jpg|6.889|9.10|Wargames|Miniatures,Wargame,World War II|Action Points,Dice Rolling,Hand Management,Hexagon Grid,Modular Board,Team-Based Game|22825|2|4|120|120|120|12|3.4563
로스트 시티|Lost Cities|1999|data/boardgame_strategy/2021/02/17/1613555831-178098_N_80x80_100_5_.png|6.869|7.06|Family Games|Card Game,Exploration|Hand Management,Push Your Luck,Score-and-Reset Game,Set Collection|50|2|2|30|30|30|10|1.4861
슈타우퍼 왕조|The Staufer Dynasty|2014|wys2/swf_upload/2022/01/16/164228000828176_lg_N_80x80_100_5_.png|6.881|7.32|Strategy Games|Medieval|Area Majority / Influence,Modular Board,Open Drafting,Pattern Building,Set Collection|166226|2|5|90|90|90|13|2.9829
토르투가 1667|Tortuga 1667|2017|wys2/swf_upload/2022/01/16/1642280035884722_lg_N_80x80_100_5_.png|6.881|7.02|Party Games|Card Game,Party Game,Pirates|Area Movement,Hand Management,Hidden Roles,Team-Based Game,Voting|218530|2|9|40|20|40|12|2
콜로세움|Colosseum|2007|wys2/swf_upload/2022/01/16/1642280111966182_lg_N_80x80_100_5_.jpg|6.883|8.09|Strategy Games|Ancient,Negotiation|Auction/Bidding,Dice Rolling,Roll / Spin and Move,Set Collection,Trading|27746|3|5|90|60|90|10|2.755
엑시트: 더 게임 - 연구실의 비밀|Exit: The Game – The Secret Lab|2016|wys2/swf_upload/2022/01/16/164228017961405_lg_N_80x80_100_5_.png|6.885|7.08|Family Games|Deduction,Puzzle,Real-time|Cooperative Game|203417|1|6|150|45|150|12|2.5417
바방크|Vabanque|2001|wys2/swf_upload/2022/01/16/1642280245562245_lg_N_80x80_100_5_.jpg|6.889|7.62|Family Games|Bluffing|Betting and Bluffing|2536|3|6|45|30|45|12|1.6735
승리와 비극|Triumph & Tragedy: European Balance of Power 1936-1945|2015|wys2/swf_upload/2022/01/16/1642280274798013_lg_N_80x80_100_5_.jpg|6.881|8.65|Wargames|Economic,Negotiation,Political,Territory Building,Wargame,World War II|Area Majority / Influence,Area Movement,Campaign / Battle Card Driven,Dice Rolling,Hand Management,Movement Points,Secret Unit Deployment|130960|2|3|360|240|360|12|3.3727
장난꾸러기 나방|Cheating Moth|2011|data/boardgame_strategy/2021/02/09/1612859353-21752_N_80x80_100_5_.jpg|6.873|6.91|Party Games|Action / Dexterity,Card Game|Hand Management|105593|3|5|30|30|30|7|1.1473
프라이데이|Friday|2011|wys2/swf_upload/2022/06/30/1656515426243684_lg_N_80x80_100_5_.jpg|6.882|7.49|Strategy Games|Adventure,Card Game,Fighting,Novel-based,Pirates|Deck, Bag, and Pool Building,Hand Management,Push Your Luck,Solo / Solitaire Game|43570|1|1|25|25|25|13|2.1491
퀘벡|Québec|2011|wys2/swf_upload/2022/01/16/164228034159576_lg_N_80x80_100_5_.jpg|6.876|7.72|Strategy Games|City Building|Area Majority / Influence,Modular Board,Worker Placement|91984|2|5|75|75|75|13|2.9845
아줄: 여름 별장|Azul: Summer Pavilion|2019|data/boardgame_strategy/2021/03/18/1616026539-387032_N_80x80_100_5_.jpg|6.883|7.56|Family Games|Abstract Strategy,Puzzle|End Game Bonuses,Open Drafting,Pattern Building,Set Collection,Tile Placement,Turn Order: Claim Action|287954|2|4|45|30|45|8|2.0642
두 도시 사이에서|Between Two Cities|2015|wys2/swf_upload/2022/01/16/1642280455362079_lg_N_80x80_100_5_.png|6.872|7.06|Family Games|City Building,Negotiation|Closed Drafting,Highest-Lowest Scoring,Neighbor Scope,Set Collection,Simultaneous Action Selection,Solo / Solitaire Game,Tile Placement|168435|1|7|25|25|25|14|1.812
제왕의 깃발|Oriflamme|2019|data/boardgame_strategy/2021/02/09/1612857992-979085_N_80x80_100_5_.jpg|6.881|7.27|Family Games|Card Game,Political|Action Queue,Betting and Bluffing,Hand Management,Take That,Turn Order: Progressive|287084|3|5|30|15|30|10|1.6437
아줄: 신트라의 스테인드 글라스|Azul: Stained Glass of Sintra|2018|data/boardgame_strategy/2021/03/18/1616026506-325859_N_80x80_100_5_.png|6.877|7.27|Family Games|Abstract Strategy,Puzzle,Renaissance|End Game Bonuses,Modular Board,Open Drafting,Pattern Building,Set Collection,Tile Placement,Turn Order: Claim Action|256226|2|4|45|30|45|8|2.0276
쇼 매니저|Show Manager|1996|wys2/swf_upload/2022/01/16/1642280506359307_lg_N_80x80_100_5_.png|6.879|7.68|Strategy Games|Card Game|Auction: Dutch,Open Drafting,Set Collection|73|2|6|60|60|60|10|2.0943
서버비아 콜렉터스 에디션|Suburbia: Collector's Edition|2019|wys2/swf_upload/2022/02/14/1644773271138543_lg_N_80x80_100_5_.jpg|6.860|8.30|Strategy Games|City Building,Economic|Hexagon Grid,Modular Board,Open Drafting,Set Collection,Tile Placement|267367|1|5|90|90|90|8|2.8367
기프|GIPF|1997|wys2/swf_upload/2022/01/16/1642280628187335_lg_N_80x80_100_5_.png|6.873|7.43|Abstract Strategy Games|Abstract Strategy|Grid Movement,Pattern Building|527|2|2|60|30|60|9|2.7727
뉴로시마 헥스!|Neuroshima Hex! 3.0|2006|wys2/swf_upload/2022/01/16/1642280672647339_lg_N_80x80_100_5_.jpg|6.880|8.10|Strategy Games|Collectible Components,Fighting,Puzzle,Science Fiction|Area Majority / Influence,Connections,Grid Movement,Hand Management,Hexagon Grid,Line of Sight,Player Elimination,Solo / Solitaire Game,Team-Based Game,Tile Placement,Variable Player Powers|21241|1|4|30|30|30|13|2.6129
룬 에이지|Rune Age|2011|wys2/swf_upload/2022/01/16/1642280714044109_lg_N_80x80_100_5_.jpg|6.873|7.22|Strategy Games|Card Game,Fantasy,Fighting|Cooperative Game,Deck, Bag, and Pool Building,Delayed Purchase,Dice Rolling,Hand Management,Variable Player Powers|94362|2|4|60|20|60|13|2.2932
세레니시마 (2판)|Serenissima (Second Edition)|2012|wys2/swf_upload/2022/01/16/1642280746518109_lg_N_80x80_100_5_.jpg|6.854|7.38|Strategy Games|Economic,Nautical,Renaissance|Area Majority / Influence,Area Movement,Dice Rolling,Pick-up and Deliver,Team-Based Game,Trading|135281|2|4|90|90|90|13|2.9344
마블 다이스 마스터: 어벤저스 vs X-Men|Marvel Dice Masters: Avengers vs. X-Men|2014|wys2/swf_upload/2022/01/16/1642280886248901_lg_N_80x80_100_5_.jpg|6.851|8.42|Customizable Games|Collectible Components,Comic Book / Strip,Dice,Fighting|Deck, Bag, and Pool Building,Dice Rolling,Variable Player Powers|148575|2|2|60|60|60|14|2.2984
K2|K2|2010|wys2/swf_upload/2022/01/16/1642280928168859_lg_N_80x80_100_5_.jpg|6.870|7.18|Family Games|Exploration,Sports|Hand Management,Player Elimination,Point to Point Movement,Simultaneous Action Selection,Solo / Solitaire Game|73761|1|5|60|60|60|8|2.258
티펜탈의 선술집|The Taverns of Tiefenthal|2019|data/boardgame_strategy/2021/01/25/1611516460-523549_N_80x80_100_5_.jpg|6.873|7.89|Strategy Games|Card Game,Dice,Medieval|Deck, Bag, and Pool Building,Dice Rolling,Open Drafting|269207|2|4|60|60|60|12|2.687
팩토리 펀|Factory Fun|2006|wys2/swf_upload/2022/01/16/1642280971422852_lg_N_80x80_100_5_.jpg|6.875|7.65|Strategy Games|Industry / Manufacturing,Puzzle,Real-time|Modular Board,Real-Time,Tile Placement|24417|2|5|45|45|45|10|2.5016
켈티스: 카드게임|Keltis: Das Kartenspiel|2009|wys2/swf_upload/2022/01/16/1642281002984803_lg_N_80x80_100_5_.jpg|6.873|7.14|Family Games|Card Game,Number|Hand Management,Set Collection|40832|2|4|20|20|20|8|1.4836
페이퍼 사파리|Paper Safari|2019|wys2/swf_upload/2022/01/16/1642263813398135_lg_N_80x80_100_5_.jpg|6.868|6.99|Party Games|Card Game,Children's Game|Hand Management,Open Drafting,Score-and-Reset Game,Set Collection|39534|2|5|30|30|30|0|1.25
스타 렐름: 콜로니 워즈|Star Realms: Colony Wars|2015|wys2/swf_upload/2022/01/16/1642281031623626_lg_N_80x80_100_5_.jpg|6.875|7.58|Strategy Games|Card Game,Fighting,Science Fiction|Deck, Bag, and Pool Building,Delayed Purchase,Hand Management,Open Drafting,Take That|182631|2|2|20|20|20|12|1.9032
르아브르: 내륙항|Le Havre: The Inland Port|2012|wys2/swf_upload/2022/01/16/1642281058295415_lg_N_80x80_100_5_.jpg|6.852|7.12|Strategy Games|Economic,Industry / Manufacturing|Action Points|129051|2|2|30|30|30|10|2.503
미플 서커스|Meeple Circus|2017|data/boardgame_strategy/2021/02/16/1613462661-703128_N_80x80_100_5_.png|6.865|6.99|Family Games|Action / Dexterity,Animals|Open Drafting,Pattern Building,Push Your Luck,Stacking and Balancing|193214|2|5|45|45|45|8|1.4471
썬더스톤 퀘스트|Thunderstone Quest|2017|wys2/swf_upload/2022/01/16/1642281097423130_lg_N_80x80_100_5_.jpg|6.859|7.30|Strategy Games|Card Game,Fantasy|Deck, Bag, and Pool Building|215341|2|4|90|60|90|14|2.8205
리틀 타운|Little Town|2017|data/boardgame_strategy/2021/01/21/1611206484-638220_N_80x80_100_5_.jpg|6.872|7.31|Family Games|City Building,Medieval|Tile Placement,Worker Placement|241266|2|4|60|30|60|10|1.9348
킹도미노|Kingdomino|2016|wys2/swf_upload/2022/01/16/1642281147532393_lg_N_80x80_100_5_.png|6.855|7.08|Family Games|City Building,Medieval,Territory Building|Open Drafting,Tile Placement,Turn Order: Stat-Based|204583|2|4|25|15|25|8|1.2159
카르카손: 수렵과 채집|Carcassonne: Hunters and Gatherers|2002|wys2/swf_upload/2022/01/15/1642175714214002_lg_N_80x80_100_5_.png|6.870|7.45|Family Games|Prehistoric|Area Majority / Influence,Map Addition,Tile Placement|4390|2|5|35|35|35|8|1.9197
커맨드 앤 컬러스: 나폴레오닉|Commands & Colors: Napoleonics|2010|wys2/swf_upload/2022/01/16/1642281177153485_lg_N_80x80_100_5_.jpg|6.859|7.98|Wargames|Napoleonic,Wargame|Campaign / Battle Card Driven,Command Cards,Dice Rolling,Grid Movement,Hand Management,Hexagon Grid,Modular Board,Simulation|62222|2|2|90|90|90|14|2.7308
해저탐험|Deep Sea Adventure|2014|wys2/swf_upload/2022/02/06/1644136614895007_lg_N_80x80_100_5_.jpg|6.841|6.83|Family Games|Dice,Exploration,Nautical,Party Game|Pick-up and Deliver,Push Your Luck,Roll / Spin and Move|169654|2|6|30|30|30|8|1.1703
미스터 잭 포켓|Mr. Jack Pocket|2010|wys2/swf_upload/2022/01/16/1642281238928181_lg_N_80x80_100_5_.jpg|6.862|7.20|Strategy Games|Bluffing,Deduction,Murder/Mystery,Post-Napoleonic|Hidden Movement,Map Deformation,Modular Board|72287|2|2|15|15|15|14|1.8239
마녀의 물약|Witch's Brew|2008|wys2/swf_upload/2022/01/16/1642281379858828_lg_N_80x80_100_5_.jpg|6.852|7.09|Family Games|Bluffing,Card Game,Fantasy|Hand Management,Simultaneous Action Selection|34084|3|5|60|30|60|9|1.87
스타쉽 카탄|Starship Catan|2001|wys2/swf_upload/2022/01/16/1642281412839233_lg_N_80x80_100_5_.jpg|6.872|9.00|Strategy Games|Card Game,Exploration,Science Fiction,Space Exploration|Dice Rolling,Memory,Push Your Luck,Trading|2338|2|2|60|60|60|12|2.4681
누스피요르드|Nusfjord|2017|wys2/swf_upload/2022/01/16/1642281437136823_lg_N_80x80_100_5_.jpg|6.866|7.83|Strategy Games|Economic|Worker Placement|234277|1|5|100|20|100|12|2.8564
프레타 포르테|Prêt-à-Porter|2019|wys2/swf_upload/2022/01/16/1642281471113942_lg_N_80x80_100_5_.jpg|6.858|7.21|Strategy Games|Economic,Industry / Manufacturing|Loans,Open Drafting,Set Collection,Worker Placement|87890|2|4|90|90|90|10|3.5761
베이스볼 하이라이트 : 2045|Baseball Highlights: 2045|2015|wys2/swf_upload/2022/01/16/1642281497871832_lg_N_80x80_100_5_.png|6.866|7.83|Thematic Games|Card Game,Science Fiction,Sports|Deck, Bag, and Pool Building,Hand Management,Open Drafting,Solo / Solitaire Game,Take That|151022|1|4|45|45|45|9|2.2
로코코: 딜럭스 에디션|Rococo: Deluxe Edition|2020|wys2/swf_upload/2022/01/16/1642281537457355_lg_N_80x80_100_5_.jpg|6.865|7.84|Strategy Games|Age of Reason,Economic,Industry / Manufacturing|Area Majority / Influence,Deck, Bag, and Pool Building,End Game Bonuses,Hand Management,Income,Open Drafting,Set Collection|296100|1|5|120|60|120|14|3.0109
바이킹|Vikings|2007|wys2/swf_upload/2022/01/16/164228157753259_lg_N_80x80_100_5_.jpg|6.853|7.83|Strategy Games|Economic,Medieval,Nautical,Territory Building|Auction/Bidding,Rondel,Tile Placement,Victory Points as a Resource|27173|2|4|60|60|60|10|2.5436
쿼드로폴리스|Quadropolis|2016|wys2/swf_upload/2022/01/16/1642281614641755_lg_N_80x80_100_5_.jpg|6.856|7.29|Family Games|City Building,Environmental|Hand Management,Pattern Building,Set Collection,Tile Placement,Worker Placement, Different Worker Types|176396|2|4|60|30|60|8|2.212
벚꽃 내리는 시대에 결투를|新幕 桜降る代に決闘を 基本セット (A Duel for Falling Cherry Blossoms: New Act – Basic Set)|2018|wys2/swf_upload/2022/02/02/164373890429022_lg_N_80x80_100_5_.jpg|6.859|8.77|Family Games|Card Game,Fighting|Action Points,Campaign / Battle Card Driven,Deck Construction,Hand Management,Relative Movement,Take That,Variable Player Powers|304042|2|2|20|20|20|0|3.5
여명의 제국 (3판)|Twilight Imperium: Third Edition|2005|wys2/swf_upload/2022/01/16/1642281684317048_lg_N_80x80_100_5_.jpg|6.858|8.12|Strategy Games|Civilization,Negotiation,Political,Science Fiction,Space Exploration,Wargame|Action Points,Area-Impulse,Dice Rolling,Follow,Grid Movement,Hexagon Grid,Increase Value of Unchosen Resources,Modular Board,Player Elimination,Tile Placement,Trading,Variable Phase Order,Variable Player Powers,Voting|12493|3|6|240|180|240|14|4.2545
멀티버스의 센티넬|Sentinels of the Multiverse|2011|wys2/swf_upload/2022/01/16/1642281709746107_lg_N_80x80_100_5_.jpg|6.864|8.17|Thematic Games|Card Game,Comic Book / Strip,Fighting|Cooperative Game,Hand Management,Solo / Solitaire Game,Variable Player Powers|102652|2|5|60|30|60|8|2.5075
부두프린스|Voodoo Prince|2017|wys2/swf_upload/2022/01/16/1642281745657830_lg_N_80x80_100_5_.png|6.863|7.24|Family Games|Card Game|Predictive Bid,Trick-taking|234248|2|5|20|20|20|8|1.5385
택 : 아름다운 게임|Tak|2016|wys2/swf_upload/2022/09/09/16627272667613_lg_N_80x80_100_5_.jpg|6.863|8.99|Abstract Strategy Games|Abstract Strategy|Grid Movement,Network and Route Building,Square Grid|197405|2|2|60|20|60|12|2.4853
퓨즈|FUSE|2015|wys2/swf_upload/2022/01/16/1642281815576678_lg_N_80x80_100_5_.jpg|6.856|7.03|Family Games|Action / Dexterity,Dice,Real-time,Science Fiction|Cooperative Game,Dice Rolling,Elapsed Real Time Ending,Open Drafting,Pattern Building,Real-Time,Solo / Solitaire Game|171273|1|5|10|10|10|10|1.6667
브뤼셀 1893|Bruxelles 1893|2013|wys2/swf_upload/2022/01/16/164228183783199_lg_N_80x80_100_5_.jpg|6.837|7.22|Strategy Games|Economic|Area Majority / Influence,Auction/Bidding,Modular Board,Open Drafting,Worker Placement|144592|2|5|125|50|125|13|3.5902
밀레니엄 블레이즈|Millennium Blades|2016|wys2/swf_upload/2022/01/16/1642281868811954_lg_N_80x80_100_5_.jpg|6.853|7.64|Thematic Games|Card Game,Real-time|Commodity Speculation,Deck, Bag, and Pool Building,Hand Management,Open Drafting,Real-Time,Set Collection,Simulation,Trading|151347|2|5|120|80|120|12|3.6829
제르쯔|ZÈRTZ|2000|wys2/swf_upload/2022/01/16/16422818988384_lg_N_80x80_100_5_.jpg|6.864|7.43|Abstract Strategy Games|Abstract Strategy|Grid Movement,Map Reduction,Set Collection|528|2|2|60|30|60|9|2.7455
뱅!|BANG!|2002|wys2/swf_upload/2022/01/16/1642282007766533_lg_N_80x80_100_5_.png|6.823|6.88|Party Games|American West,Bluffing,Card Game,Deduction,Fighting|Hand Management,Hidden Roles,Kill Steal,Player Elimination,Take That,Team-Based Game,Variable Player Powers|3955|4|7|40|20|40|10|1.6347
월드 오브 워크래프트 : 보드게임|World of Warcraft: The Boardgame|2005|wys2/swf_upload/2022/01/16/1642282034675049_lg_N_80x80_100_5_.jpg|6.860|7.64|Thematic Games|Adventure,Fantasy,Fighting,Miniatures,Video Game Theme|Area Movement,Dice Rolling,Hand Management,Team-Based Game,Variable Player Powers|17223|2|6|180|180|180|12|3.5081
아티카|Attika|2003|wys2/swf_upload/2022/01/16/1642282060552907_lg_N_80x80_100_5_.jpg|6.863|7.56|Strategy Games|Ancient,City Building,Territory Building|Modular Board,Network and Route Building,Tile Placement|8051|2|4|60|45|60|10|2.3689
세계의 역사|History of the World|2018|data/boardgame_strategy/2021/03/09/1615274024-887869_N_80x80_100_5_.png|6.854|7.48|Thematic Games|Age of Reason,Ancient,Civilization,Medieval,Napoleonic,Pike and Shot,Post-Napoleonic,Renaissance,Wargame|Area Majority / Influence,Dice Rolling|235591|3|6|180|120|180|14|2.5769
임페리얼 2030|Imperial 2030|2009|wys2/swf_upload/2022/04/11/1649613182947788_lg_N_80x80_100_5_.jpg|6.859|8.07|Strategy Games|Economic,Nautical,Political|Area Majority / Influence,Area Movement,Investment,Ownership,Rondel,Stock Holding|54138|2|6|180|120|180|12|3.508
스트라스부르|Strasbourg|2011|wys2/swf_upload/2022/01/16/1642282120952916_lg_N_80x80_100_5_.jpg|6.834|7.77|Strategy Games|City Building,Economic,Medieval|Area Majority / Influence,Auction/Bidding,Auction: Once Around,Pattern Building,Tile Placement|91873|3|5|60|60|60|12|2.7407
컬러레또|Coloretto|2003|wys2/swf_upload/2022/01/16/16422822542197_lg_N_80x80_100_5_.png|6.838|6.89|Family Games|Animals,Card Game|Open Drafting,Push Your Luck,Set Collection|5782|2|5|30|30|30|8|1.2816
루미큐브 트위스트|Rummikub Twist|2016|data/boardgame_strategy/2016/03/29/1459262433-695005_N_80x80_100_5_.png|6.860|7.46|Wargames|Abstract Strategy,Number|Hand Management,Pattern Building,Set Collection|237792|2|4|45|20|45|8|2.1429
노바 루나|Nova Luna|2019|data/boardgame_strategy_reg/2020/02/15/1581744009-16885_N_80x80_100_5_.jpg|6.862|8.70|Abstract Strategy Games|Abstract Strategy,Puzzle|Contracts,Race,Tile Placement,Time Track|284435|1|4|60|30|60|8|1.8706
퍼틸리티|Fertility|2018|data/boardgame_strategy/2021/02/09/1612856494-672677_N_80x80_100_5_.jpg|6.860|7.42|Family Games|Ancient|Modular Board,Set Collection,Tile Placement|256320|2|4|45|25|45|10|1.973
컴뱃 커맨더: 유럽|Combat Commander: Europe|2006|wys2/swf_upload/2022/01/16/1642338563777127_lg_N_80x80_100_5_.jpg|6.858|9.18|Wargames|Wargame,World War II|Advantage Token,Campaign / Battle Card Driven,Grid Movement,Hexagon Grid,Simulation,Variable Phase Order|21050|2|2|180|60|180|12|3.2521
배틀로어 (2판)|BattleLore: Second Edition|2013|wys2/swf_upload/2022/01/16/164227263466102_lg_N_80x80_100_5_.jpg|6.852|8.37|Wargames|Fantasy,Miniatures,Wargame|Campaign / Battle Card Driven,Command Cards,Dice Rolling,Grid Movement,Modular Board,Variable Player Powers|146439|2|2|90|45|90|14|2.7027
칸반 EV|Kanban EV|2020|wys2/swf_upload/2022/01/14/1642151421199203_lg_N_80x80_100_5_.png|6.853|8.95|Strategy Games|Economic,Industry / Manufacturing|Action Points,Hand Management,Variable Phase Order,Worker Placement|284378|1|4|180|60|180|14|4.3513
타케노코|Takenoko|2011|data/boardgame_strategy/2021/11/23/1637655392-332287_N_80x80_100_5_.png|6.804|6.88|Family Games|Animals,Environmental,Farming,Territory Building|Action Points,Contracts,Dice Rolling,End Game Bonuses,Grid Movement,Hexagon Grid,Modular Board,Network and Route Building,Pattern Building,Set Collection,Tile Placement|70919|2|4|45|45|45|8|1.9761
키퍼|Keyper|2017|wys2/swf_upload/2022/01/16/1642338626026447_lg_N_80x80_100_5_.jpg|6.857|7.81|Strategy Games|City Building,Economic,Farming,Medieval|Area Majority / Influence,Set Collection,Tile Placement,Worker Placement|212516|2|4|120|90|120|14|3.6034
루미큐브 클럽|Rummikub|2010|data/boardgame_strategy/2015/07/20/1437394223-280035_N_80x80_100_5_.png|6.860|7.46|Family Games|Abstract Strategy,Card Game,Children's Game,Number|Set Collection,Tile Placement|811|2|4|60|60|60|8|1.7282
배틀콘: 인다인즈의 유린|BattleCON: Devastation of Indines|2013|wys2/swf_upload/2022/01/16/1642338680853458_lg_N_80x80_100_5_.jpg|6.843|8.43|Strategy Games|Card Game,Fantasy,Fighting|Hand Management,Point to Point Movement,Simultaneous Action Selection,Solo / Solitaire Game,Team-Based Game,Variable Player Powers|123123|1|5|45|45|45|10|3.0875
홈스트레치|HomeStretch|2012|wys2/swf_upload/2022/01/16/164233871612407_lg_N_80x80_100_5_.jpg|6.855|7.23|Family Games|Animals,Racing,Sports|Betting and Bluffing,Dice Rolling,Open Drafting,Roll / Spin and Move,Stock Holding|129945|2|6|60|60|60|14|1.6452
국경에서|Hart an der Grenze|2006|wys2/swf_upload/2022/01/16/1642338770086946_lg_N_80x80_100_5_.jpg|6.837|7.41|Party Games|Bluffing,Card Game,Party Game|Hand Management|22237|3|6|40|40|40|10|1.4174
주사위는 던져졌다|Alea Iacta Est|2009|wys2/swf_upload/2022/01/16/1642338814383455_lg_N_80x80_100_5_.jpg|6.839|7.53|Family Games|Ancient,Dice|Area Majority / Influence,Dice Rolling,Set Collection,Worker Placement,Worker Placement with Dice Workers|40760|2|5|60|60|60|9|1.9132
카베르나: 케이브 vs 케이브|Caverna: Cave vs Cave|2017|wys2/swf_upload/2022/01/16/1642338853632003_lg_N_80x80_100_5_.jpg|6.854|7.87|Strategy Games|Economic,Fantasy,Farming|Tile Placement,Worker Placement|220520|1|2|40|20|40|10|2.5714
던전로드: 기념판|Dungeon Lords: Happy Anniversary|2014|wys2/swf_upload/2022/01/16/1642338897887415_lg_N_80x80_100_5_.png|6.852|8.18|Strategy Games|Adventure,Economic,Fantasy,Fighting,Humor|Action Queue,Hand Management,Simultaneous Action Selection,Tile Placement,Worker Placement|161617|2|4|120|120|120|13|3.9231
히어로클릭스|HeroClix|2002|wys2/swf_upload/2022/01/16/1642339808683355_lg_N_80x80_100_5_.png|6.806|8.80|Customizable Games|Collectible Components,Comic Book / Strip,Dice,Fighting,Miniatures|Action Points,Dice Rolling,Variable Player Powers|3439|2|2|60|60|60|10|2.8177
안드로이드: 넷러너 - 데이터와 운명|Android: Netrunner – Data and Destiny|2015|wys2/swf_upload/2022/01/13/1642085156395506_lg_N_80x80_100_5_.jpg|6.855|8.72|Customizable Games|Expansion for Base-game,Bluffing,Card Game,Collectible Components,Science Fiction|Action Points,Hand Management,Secret Unit Deployment,Variable Player Powers|178866|2|2|45|45|45|14|3
트리뷴|Tribune: Primus Inter Pares|2007|wys2/swf_upload/2022/01/16/1642339878418522_lg_N_80x80_100_5_.jpg|6.854|7.77|Strategy Games|Ancient,Political|Auction/Bidding,Hand Management,Open Drafting,Set Collection,Sudden Death Ending,Worker Placement|30957|2|5|120|60|120|12|2.8732
슈퍼 마더로드|Super Motherload|2015|wys2/swf_upload/2022/01/16/164233992486765_lg_N_80x80_100_5_.jpg|6.848|7.28|Strategy Games|Science Fiction,Video Game Theme|Deck, Bag, and Pool Building,Delayed Purchase,Hand Management,Set Collection,Tile Placement,Variable Player Powers|162286|2|4|75|60|75|13|2.288
빅시티|Big City|1999|wys2/swf_upload/2022/01/16/164233996379386_lg_N_80x80_100_5_.jpg|6.841|7.54|Strategy Games|City Building|Hand Management,Modular Board,Tile Placement|70|2|5|60|60|60|10|2.2162
무라노|Murano|2014|wys2/swf_upload/2022/01/16/1642340005934081_lg_N_80x80_100_5_.jpg|6.847|7.93|Strategy Games|City Building,Economic|Point to Point Movement,Tile Placement|163413|2|4|75|60|75|10|2.7321
에베스|ebbes|2013|wys2/swf_upload/2022/01/16/1642340078357549_lg_N_80x80_100_5_.jpg|6.855|7.93|Abstract Strategy Games|Card Game|Trick-taking|143882|3|5|45|45|45|10|2.1739
카후나|Kahuna|1998|data/boardgame_strategy/2021/02/16/1613463015-623372_N_80x80_100_5_.png|6.842|6.97|Abstract Strategy Games|Abstract Strategy|Area Majority / Influence,Hand Management,Network and Route Building,Open Drafting,Take That|394|2|2|40|30|40|10|2.0533
메이지 나이트 보드게임 : 테즐라의 그림자|Mage Knight Board Game: Shades of Tezla Expansion|2015|wys2/swf_upload/2022/01/16/1642340125626344_lg_N_80x80_100_5_.jpg|6.851|8.73|Strategy Games|Adventure,Expansion for Base-game,Exploration,Fantasy,Fighting|Cooperative Game,Deck, Bag, and Pool Building,Dice Rolling,Grid Movement,Modular Board,Open Drafting,Role Playing|176130|1|5|240|60|240|14|4.1842
버스 노선을 만들자|Let's Make a Bus Route|2018|wys2/swf_upload/2022/05/05/1651749194897425_lg_N_80x80_100_5_.jpg|6.851|7.07|Family Games|Transportation|Bingo,Line Drawing,Network and Route Building,Paper-and-Pencil,Set Collection|251053|2|5|30|20|30|10|1.9565
끝 없는 세계|World Without End|2009|wys2/swf_upload/2022/01/16/1642340167613387_lg_N_80x80_100_5_.jpg|6.849|8.05|Strategy Games|Economic,Medieval,Novel-based,Religious|Hand Management,Random Production|43528|2|4|120|90|120|12|2.8132
파이어니어 데이즈|Pioneer Days|2017|wys2/swf_upload/2022/02/03/1643825283426589_lg_N_80x80_100_5_.jpg|6.841|7.19|Strategy Games|American West,Dice|Dice Rolling,Open Drafting,Variable Player Powers|200057|2|4|75|45|75|14|2.5397
킹스 오브 이스라엘|Kings of Israel|2014|wys2/swf_upload/2022/01/16/1642340242364815_lg_N_80x80_100_5_.jpg|6.841|8.10|Strategy Games|Ancient,Religious|Action Points,Cooperative Game,Hand Management,Point to Point Movement,Set Collection,Variable Player Powers|142084|2|4|45|45|45|14|2.3529
